N,w_ratio,r_min,seed,mean_inflation,mean_inflation_binding,mean_inflation_nonbinding,n_binding,n_nonbinding
1,2.0,0.9,42,0.6208272800000001,0.8175872894736843,-0.002246083333333343,76,24
1,2.0,0.9,123,0.62150288,0.8184762368421052,-0.002246083333333343,76,24
1,2.0,0.9,456,0.6250584600000001,0.8217433421052632,0.0022229999999999936,76,24
1,2.0,0.9,789,0.6157516500000001,0.8113033157894737,-0.0034952916666666826,76,24
1,4.0,0.5,0,0.6141844000000001,0.8468658333333333,0.01586071428571428,72,28
1,4.0,0.5,42,0.6208272800000001,0.8499269444444445,0.031713857142857134,72,28
1,4.0,0.5,123,0.62150288,0.8508652777777778,0.031713857142857134,72,28
1,4.0,0.5,456,0.6250584600000001,0.8543138888888889,0.03554449999999999,72,28
1,4.0,0.5,789,0.6157516500000001,0.8463623472222223,0.022752714285714275,72,28
1,4.0,0.7,0,0.6141844000000001,0.8399120410958905,0.003883740740740732,73,27
1,4.0,0.7,42,0.6208272800000001,0.8429312191780822,0.020324037037037026,73,27
1,4.0,0.7,123,0.62150288,0.843856698630137,0.020324037037037026,73,27
1,4.0,0.7,456,0.6250584600000001,0.8472580684931508,0.024296555555555547,73,27
1,4.0,0.7,789,0.6157516500000001,0.8388953561643837,0.012437185185185173,73,27
1,4.0,0.9,0,0.6141844000000001,0.814689302631579,-0.02074779166666667,76,24
1,4.0,0.9,42,0.6208272800000001,0.8175872894736843,-0.002246083333333343,76,24
1,4.0,0.9,123,0.62150288,0.8184762368421052,-0.002246083333333343,76,24
1,4.0,0.9,456,0.6250584600000001,0.8217433421052632,0.0022229999999999936,76,24
1,4.0,0.9,789,0.6157516500000001,0.8113033157894737,-0.0034952916666666826,76,24
2,0.0,0.5,0,0.5959893400000001,0.8138998888888889,0.03564792857142856,72,28
2,0.0,0.5,42,0.60187241,0.8236660555555555,0.03154589285714284,72,28
2,0.0,0.5,123,0.5890423300000002,0.8042564861111111,0.03563449999999999,72,28
2,0.0,0.5,456,0.5902569400000001,0.8059434444444444,0.03563449999999999,72,28
2,0.0,0.5,789,0.60379543,0.8272065138888889,0.0293097857142857,72,28
2,0.0,0.7,0,0.5959893400000001,0.8073976849315068,0.024403814814814802,73,27
2,0.0,0.7,42,0.60187241,0.8170300684931506,0.020149851851851835,73,27
2,0.0,0.7,123,0.5890423300000002,0.7978863835616439,0.024389888888888874,73,27
2,0.0,0.7,456,0.5902569400000001,0.7995502328767123,0.024389888888888874,73,27
2,0.0,0.7,789,0.60379543,0.8200019315068494,0.019237111111111097,73,27
2,0.0,0.9,0,0.5959893400000001,0.7834637500000001,0.0023203749999999904,76,24
2,0.0,0.9,42,0.60187241,0.7927105657894737,-0.00244841666666668,76,24
2,0.0,0.9,123,0.5890423300000002,0.774322552631579,0.002321624999999989,76,24
2,0.0,0.9,456,0.5902569400000001,0.7759207236842107,0.002321624999999989,76,24
2,0.0,0.9,789,0.60379543,0.7955698421052632,-0.003490208333333351,76,24
2,0.25,0.5,0,0.5976642000000001,0.8162260833333332,0.03564792857142856,72,28
2,0.25,0.5,42,0.6035271500000001,0.8259643055555554,0.03154589285714284,72,28
2,0.25,0.5,123,0.5890423300000002,0.8042564861111111,0.03563449999999999,72,28
2,0.25,0.5,456,0.5919687200000001,0.8083209166666667,0.03563449999999999,72,28
