N,w_ratio,r_min,reliability,resolution,uncertainty,brier_from_decomp,brier_direct,n_obs
32,0.0,0.9,0.2138078410233549,0.1759254172047158,0.237456,0.2753384238186391,0.273949454724788,500
32,0.25,0.5,0.22208469821239737,0.17590136415498678,0.237456,0.2836393340574106,0.282226689521256,500
32,0.25,0.7,0.2505188091702321,0.17480241477699554,0.237456,0.3131723943932366,0.311056738275448,500
32,0.25,0.9,0.19951402047688205,0.14642339271938284,0.237456,0.2905466277574992,0.284456826114398,500
32,0.5,0.5,0.22381618428337186,0.17588184152912395,0.237456,0.2853903427542479,0.283963634700238,500
32,0.5,0.7,0.2848137678670242,0.16927201427028257,0.237456,0.3529977535967417,0.3503029158063,500
32,0.5,0.9,0.22625688336212987,0.06324929004329005,0.237456,0.40046359331883985,0.38205625276033395,500
32,1.0,0.5,0.22381618428337186,0.17588184152912395,0.237456,0.2853903427542479,0.283963634700238,500
32,1.0,0.7,0.28697262169258175,0.15184899887826717,0.2356,0.3707236228143146,0.367685400268584,500
32,1.0,0.9,0.32761542101445107,0.020513089201877936,0.221776,0.5288783318125732,0.508506484019344,500
32,2.0,0.5,0.22381618428337186,0.17588184152912395,0.237456,0.2853903427542479,0.283963634700238,500
32,2.0,0.7,0.28697262169258175,0.15184899887826717,0.2356,0.3707236228143146,0.367685400268584,500
32,2.0,0.9,0.32761542101445107,0.020513089201877936,0.221776,0.5288783318125732,0.508506484019344,500
32,4.0,0.5,0.22381618428337186,0.17588184152912395,0.237456,0.2853903427542479,0.283963634700238,500
32,4.0,0.7,0.28697262169258175,0.15184899887826717,0.2356,0.3707236228143146,0.367685400268584,500
32,4.0,0.9,0.32761542101445107,0.020513089201877936,0.221776,0.5288783318125732,0.508506484019344,500
