N,w_ratio,r_min,seed,mean_brier,mean_H,mean_A,mean_r,n_tasks
4,0.0,0.5,0,0.41511861173736997,0.34,0.98,0.85073255,100
4,0.0,0.5,42,0.45860290809009,0.31,0.99,0.8619450500000001,100
4,0.0,0.5,123,0.43309317570628,0.33,1.0,0.85565166,100
4,0.0,0.5,456,0.44841938968005995,0.31,0.99,0.8515386599999999,100
4,0.0,0.5,789,0.45408856200941,0.33,1.0,0.86891445,100
4,0.0,0.7,0,0.41511861173736997,0.34,0.82,0.85073255,100
4,0.0,0.7,42,0.45860290809009,0.31,0.84,0.8619450500000001,100
4,0.0,0.7,123,0.43309317570628,0.33,0.8,0.85565166,100
4,0.0,0.7,456,0.44841938968005995,0.31,0.82,0.8515386599999999,100
4,0.0,0.7,789,0.45408856200941,0.33,0.87,0.86891445,100
4,0.0,0.9,0,0.41511861173736997,0.34,0.47,0.85073255,100
4,0.0,0.9,42,0.45860290809009,0.31,0.47,0.8619450500000001,100
4,0.0,0.9,123,0.43309317570628,0.33,0.49,0.85565166,100
4,0.0,0.9,456,0.44841938968005995,0.31,0.47,0.8515386599999999,100
4,0.0,0.9,789,0.45408856200941,0.33,0.48,0.86891445,100
4,0.25,0.5,0,0.41665406866521,0.34,0.99,0.8521101899999999,100
4,0.25,0.5,42,0.45971279262174003,0.31,1.0,0.86297,100
4,0.25,0.5,123,0.43309317570628,0.33,1.0,0.85565166,100
4,0.25,0.5,456,0.45027178555993996,0.31,1.0,0.85325044,100
4,0.25,0.5,789,0.45408856200941,0.33,1.0,0.86891445,100
4,0.25,0.7,0,0.43224067528118,0.34,0.94,0.8634954399999999,100
4,0.25,0.7,42,0.46943830336772,0.31,0.93,0.8698317,100
4,0.25,0.7,123,0.45506740971979,0.33,0.93,0.87162917,100
4,0.25,0.7,456,0.46546149349281,0.31,0.93,0.86418697,100
4,0.25,0.7,789,0.47035114292349,0.33,0.98,0.88082359,100
4,0.25,0.9,0,0.43115016330365,0.34,0.56,0.85980711,100
4,0.25,0.9,42,0.48253979642204003,0.31,0.61,0.87530878,100
4,0.25,0.9,123,0.44365356003983997,0.33,0.56,0.86147198,100
4,0.25,0.9,456,0.46597397173893,0.31,0.57,0.8613817899999999,100
4,0.25,0.9,789,0.47363429283386,0.33,0.62,0.8797664399999999,100
4,0.5,0.5,0,0.41665406866521,0.34,0.99,0.8521101899999999,100
4,0.5,0.5,42,0.45971279262174003,0.31,1.0,0.86297,100
4,0.5,0.5,123,0.43309317570628,0.33,1.0,0.85565166,100
4,0.5,0.5,456,0.45027178555993996,0.31,1.0,0.85325044,100
4,0.5,0.5,789,0.45408856200941,0.33,1.0,0.86891445,100
4,0.5,0.7,0,0.44068366581906,0.34,0.97,0.86943794,100
4,0.5,0.7,42,0.48672902576730004,0.31,0.98,0.88139268,100
4,0.5,0.7,123,0.47026167601296004,0.33,0.98,0.88188048,100
4,0.5,0.7,456,0.47905824080045,0.31,0.97,0.8734469300000001,100
4,0.5,0.7,789,0.47316119167521997,0.33,0.99,0.8829488999999999,100
4,0.5,0.9,0,0.46843415380056,0.34,0.67,0.88157416,100
4,0.5,0.9,42,0.52280937137531,0.31,0.72,0.89965209,100
4,0.5,0.9,123,0.48539205621598003,0.33,0.67,0.8870014399999999,100
4,0.5,0.9,456,0.50499415771639,0.31,0.68,0.88474025,100
4,0.5,0.9,789,0.49276072982731,0.33,0.67,0.8911295300000001,100
4,1.0,0.5,0,0.42247531897560997,0.34,1.0,0.8563085300000001,100
4,1.0,0.5,42,0.45971279262174003,0.31,1.0,0.86297,100
4,1.0,0.5,123,0.43309317570628,0.33,1.0,0.85565166,100
4,1.0,0.5,456,0.45027178555993996,0.31,1.0,0.85325044,100
4,1.0,0.5,789,0.45408856200941,0.33,1.0,0.86891445,100
4,1.0,0.7,0,0.45151391211106,0.34,0.99,0.8767857600000001,100
4,1.0,0.7,42,0.49233220304006997,0.31,0.99,0.88477239,100
4,1.0,0.7,123,0.47527067199455997,0.33,0.99,0.88502996,100
4,1.0,0.7,456,0.4841473716149,0.31,0.98,0.8769394800000001,100
4,1.0,0.7,789,0.47819454257121996,0.33,1.0,0.8864749000000001,100
4,1.0,0.9,0,0.49736961078277,0.32,0.71,0.89085393,100
4,1.0,0.9,42,0.53639602021041,0.3,0.74,0.9033835299999999,100
4,1.0,0.9,123,0.51267584422307,0.31,0.71,0.8946851499999999,100
4,1.0,0.9,456,0.53895073726471,0.29,0.73,0.8970875100000001,100
4,1.0,0.9,789,0.52277627010351,0.3,0.71,0.89580969,100
4,2.0,0.5,0,0.42247531897560997,0.34,1.0,0.8563085300000001,100
4,2.0,0.5,42,0.45971279262174003,0.31,1.0,0.86297,100
4,2.0,0.5,123,0.43309317570628,0.33,1.0,0.85565166,100
4,2.0,0.5,456,0.45027178555993996,0.31,1.0,0.85325044,100
4,2.0,0.5,789,0.45408856200941,0.33,1.0,0.86891445,100
4,2.0,0.7,0,0.45151391211106,0.34,0.99,0.8767857600000001,100
4,2.0,0.7,42,0.49233220304006997,0.31,0.99,0.88477239,100
4,2.0,0.7,123,0.47527067199455997,0.33,0.99,0.88502996,100
4,2.0,0.7,456,0.4841473716149,0.31,0.98,0.8769394800000001,100
4,2.0,0.7,789,0.47819454257121996,0.33,1.0,0.8864749000000001,100
4,2.0,0.9,0,0.49736961078277,0.32,0.71,0.89085393,100
4,2.0,0.9,42,0.53639602021041,0.3,0.74,0.9033835299999999,100
4,2.0,0.9,123,0.51267584422307,0.31,0.71,0.8946851499999999,100
4,2.0,0.9,456,0.53895073726471,0.29,0.73,0.8970875100000001,100
4,2.0,0.9,789,0.52277627010351,0.3,0.71,0.89580969,100
4,4.0,0.5,0,0.42247531897560997,0.34,1.0,0.8563085300000001,100
4,4.0,0.5,42,0.45971279262174003,0.31,1.0,0.86297,100
4,4.0,0.5,123,0.43309317570628,0.33,1.0,0.85565166,100
4,4.0,0.5,456,0.45027178555993996,0.31,1.0,0.85325044,100
4,4.0,0.5,789,0.45408856200941,0.33,1.0,0.86891445,100
4,4.0,0.7,0,0.45151391211106,0.34,0.99,0.8767857600000001,100
4,4.0,0.7,42,0.49233220304006997,0.31,0.99,0.88477239,100
4,4.0,0.7,123,0.47527067199455997,0.33,0.99,0.88502996,100
4,4.0,0.7,456,0.4841473716149,0.31,0.98,0.8769394800000001,100
4,4.0,0.7,789,0.47819454257121996,0.33,1.0,0.8864749000000001,100
4,4.0,0.9,0,0.49736961078277,0.32,0.71,0.89085393,100
4,4.0,0.9,42,0.53639602021041,0.3,0.74,0.9033835299999999,100
4,4.0,0.9,123,0.51267584422307,0.31,0.71,0.8946851499999999,100
4,4.0,0.9,456,0.53895073726471,0.29,0.73,0.8970875100000001,100
4,4.0,0.9,789,0.52277627010351,0.3,0.71,0.89580969,100
8,0.0,0.5,0,0.36880647663116994,0.37,0.96,0.83454663,100
8,0.0,0.5,42,0.39771816660518,0.34,0.96,0.8368325799999999,100
8,0.0,0.5,123,0.37563368470161995,0.36,0.99,0.8281010000000001,100
