N,w_ratio,r_min,seed,mean_brier,mean_H,mean_A,mean_r,n_tasks
16,0.0,0.7,789,0.6551250000000001,0.34,1.0,0.9975,100
16,0.0,0.9,0,0.6322,0.36,1.0,0.996,100
16,0.0,0.9,42,0.6441500000000001,0.35,1.0,0.997,100
16,0.0,0.9,123,0.6612250000000001,0.33,1.0,0.9954999999999999,100
16,0.0,0.9,456,0.6612250000000001,0.33,1.0,0.9954999999999999,100
16,0.0,0.9,789,0.6551250000000001,0.34,1.0,0.9975,100
16,0.25,0.5,0,0.6322,0.36,1.0,0.996,100
16,0.25,0.5,42,0.6441500000000001,0.35,1.0,0.997,100
16,0.25,0.5,123,0.6612250000000001,0.33,1.0,0.9954999999999999,100
16,0.25,0.5,456,0.6612250000000001,0.33,1.0,0.9954999999999999,100
